Int2_Name,C-Index,H-Index,BDE_kcalmol,Int1_Name,appearance_index,count,substructure,count_substructure,appearance_index_substructure,apperance_index_substructure
Benzoicacid_RH_Sub11_C6_H15,5,14,119.0849752575076,Benzoicacid_RH_Sub11,3,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa229_plan_opt_C12_H27,11,26,117.46313122745876,aa229_plan_opt,9,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa9_plan_opt_C6_H11,5,10,116.16890181002192,aa9_plan_opt,5,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa173_opt_C14_H25,13,24,102.26440540996322,aa173_opt,3,5,"{'first layer': ['C', 'N'], 'second layer': []}",0,1,1
aa322_opt_C8_H21,7,20,118.4193853799897,aa322_opt,1,1,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa325_plan_opt_C8_H21,7,20,116.7687328248445,aa325_plan_opt,5,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Thiobenzoicacid_RH_Sub23_C9_H13,8,12,119.13777749989777,Thiobenzoicacid_RH_Sub23,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
3Buten1ol_RH_Sub6_C6_H7,5,6,113.71609592500263,3Buten1ol_RH_Sub6,1,2,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzamide_o_N_RH_Sub8_C12_H15,11,14,118.71427900500493,Benzamide_o_N_RH_Sub8,2,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
3Buten1amine_gamma_RH_Sub36_C10_H14,9,13,113.70016118999948,3Buten1amine_gamma_RH_Sub36,3,3,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa330_opt_C5_H10,4,9,119.6603720500579,aa330_opt,2,9,"{'first layer': ['C', 'C'], 'second layer': ['O', 'N']}",0,1,1
Benzamide_o_N_RH_Sub24_C9_H13,8,12,117.87846343746509,Benzamide_o_N_RH_Sub24,1,4,"{'first layer': ['C', 'C'], 'second layer': ['O']}",198,1,1
Benzeneethanamine_o_RH_Sub1_C11_H20,10,19,117.97174947000356,Benzeneethanamine_o_RH_Sub1,3,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa219_opt_C3_H17,2,16,117.8798489575084,aa219_opt,4,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
